"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC107992523",0.302,0,0.086,1.772,1.783,1.983,1.355,1.638,1.675,3.094,2.595,2.637,1.996,2.048,1.443
"LOC108000482",0.567,0.346,0.968,12.136,10.499,9.215,9.25,10.441,8.797,12.715,11.268,9.285,11.168,12.409,12.998
"LOC107996870",12.371,11.989,9.196,0.795,0.545,0.404,1.694,1.365,1.467,0.309,0.333,0.605,11.983,11.675,11.355
"LOC107999563",7.208,10.102,7.069,2.614,2.689,3.64,3.719,4.939,4.155,6.254,4.557,4.241,5.369,4.514,4.115
"LOC108002163",126.176,126.199,138.425,140.745,139.693,149.099,103.205,102.581,103.663,102.175,113.407,114.621,92.28,84.458,94.017
"LOC108003083",66.727,67.78,70.932,27.232,26.196,20.173,27.74,33.466,28.757,31.562,29.672,29.148,153.641,142.963,149.966
"LOC107993922",6.816,7.366,5.979,10.619,10.14,10.539,6.579,7.938,7.854,14.281,12.614,18.541,196.995,204.328,206.604
"LOC108001317",2.744,4.181,7.315,10.047,7.995,10.753,26.786,21.045,16.043,20.155,24.594,20.597,29.051,25.906,24.54
"LOC108004297",56.02,61.517,67.44,106.042,99.981,81.623,142.571,154.814,137.897,163.913,161.345,154.943,102.689,115.659,107.791
"LOC114576769",83.125,88.707,81.614,15.651,21.95,17.514,26.371,25.68,25.279,21.467,23.57,24.277,35.574,33.903,39.068
"LOC114577985",0,0,0,25.369,16.324,14.683,0,0.826,0.282,0,0.807,0.444,0,0,0.475
"LOC108003994",0.941,0.191,0.134,10.667,7.613,10.059,16.429,13.813,14.596,13.62,14.713,14.585,18.737,16.913,18.248
"LOC108002226",5.669,9.384,5.82,16.309,24.611,21.391,3.014,3.031,4.135,19.989,21.963,24.096,1.847,2.324,1.633
"LOC107993987",93.272,85.471,88.584,3.159,4.081,4.242,14.015,11.101,8.793,1.835,1.633,1.441,0.218,0.775,0.72
"LOC108000734",11.577,9.477,10.067,33.995,32.901,31.313,18.265,19.201,17.777,23.787,20.345,20.792,16.628,13.831,18.005
"LOC107999600",2.428,1.989,1.782,0.449,0.268,0.67,0.045,0.094,0.145,0.213,0.138,0.114,0,0.204,0.041
"LOC108001114",163.505,155.88,166.447,27.35,28.258,29.123,46.543,37.296,47.752,28.08,27.89,36.569,27.432,25.936,25.5
"LOC108000085",0.197,0.05,0.035,2.566,2.19,1.856,9.397,5.025,8.983,7.139,9.849,12.376,4.189,4.928,4.306
"LOC107997604",18.87,18.908,15.769,0.974,1.398,1.635,2.562,1.994,1.648,0.555,0.45,0.803,0.841,0.664,0.529
"LOC107993611",13.103,16.893,22.567,19.574,18.655,19.03,24.306,14.853,6.823,9.596,9.477,13.422,13.026,12.468,8.621
"LOC108001249",12.231,15.634,12.308,14.875,13.848,13.414,10.81,19.177,13.954,24.971,14.618,13.509,9.371,11.542,11.541
"LOC108004170",95.056,92.366,89.923,53.186,51.887,52.919,58.665,75.166,62.101,118.758,98.513,87.472,70.057,71.604,71.297
"LOC108001693",8.342,8.473,11.395,7.303,4.825,6.129,12.722,16.071,15.24,24.038,23.055,21.017,18.134,19.347,17.77
"LOC107992676",0.581,0,0,0,0,0,0,0,0,0.158,0.171,0,0,0,0
"LOC107992908",75.097,78.059,78.058,127.678,127.311,122.542,121.166,138.989,128.704,159.905,148.374,142.919,122.635,122.581,121.815
"LOC107992961",130.149,128.185,133.652,18.542,20.456,15.113,184.552,137.535,170.142,327.815,356.017,389.983,741.034,707.834,704.148
"LOC107995222",71.084,64.524,64.366,59.825,56.892,60.612,35.387,33.772,37.927,34.969,34.553,28.654,33.685,31.14,31.166
"LOC107995287",894.453,865.701,877.128,7.815,6.01,7.495,72.822,67.426,69.92,12.083,12.64,13.019,128.499,121.155,121.376
"LOC107994506",0,0,0,7.289,2.854,4.449,0,0.313,1.921,2.265,1.529,1.008,0.572,1.355,1.349
"LOC107999269",0,0,0,4.293,5.084,3.362,0.677,1.014,1.037,0,0.099,0.245,0.185,0.11,0.087
"LOC107996703",57.017,44.102,44.989,461.791,432.982,461.017,293.743,339.332,328.348,418.473,451.587,429.101,317.87,293.055,314.292
"LOC108000023",17.812,28.949,23.465,15.727,19.048,20.813,33.273,24.713,34.2,23.774,30.706,35.537,42.839,44.532,45.554
"LOC107994898",0.146,0.074,0.052,0.187,0.452,0.104,0.21,0.044,0.09,0.08,0,0.071,0.967,0.811,0.835
"LOC108001543",0,0.219,0.307,10.572,10.347,11.829,7.429,6.096,8.625,5.748,8.364,7.414,2.609,1.825,1.789
"Trnap-agg_1",0,0,0,0,3.44,0,0,0,0,0,0,0,0,0,0
"LOC108004417",0,0,0,13.272,11.199,13.246,1.132,2.203,0.693,0,0,0,0.775,0.367,0.876
"LOC107992813",16.088,18.725,16.676,57.62,65.94,59.222,46.38,26.41,32.177,39.386,46.091,58.105,41.472,46.916,45.524
"LOC114577923",0.179,0.145,0.33,0.182,0.196,0,0.451,0.559,0.374,1.283,1.407,0.9,8.509,8.724,8.799
"LOC107998489",239.407,244.812,242.153,70.401,71.401,71.242,81.705,93.301,81.85,70.44,70.064,63.631,57.104,57.172,49.677
"LOC107996967",0,0,0,0.565,0.434,0.542,1.019,1.296,1.326,3.379,1.639,1.596,1.882,1.981,1.971
"LOC107992772",40.636,38.828,48.71,86.829,103.16,84.647,63.472,63.797,67.604,72.504,64.559,56.031,41.474,46.41,43.203
"LOC107998748",484.454,493.018,473.046,177.293,179.687,179.201,177.685,166.065,177.997,111.727,113.924,117.583,100.273,91.322,98.286
"LOC107998802",0.181,0.061,0.214,9.527,10.05,8.984,36.79,34.33,36.609,53.83,52.085,58.841,87.36,86.22,87.45
"LOC108003146",0.439,0.446,0.437,8.66,11.068,11.378,11.185,9.975,11.718,5.156,6.91,5.651,15.201,13.311,15.512
"KEH14_p09",1.036,0,0,3.958,4.262,3.691,2.38,0.935,1.913,1.691,4.262,0.502,1.709,1.686,0.806
"LOC108003025",0,0,0,5.752,4.525,6.188,2.394,3.135,1.924,2.079,1.838,1.178,1.72,0.226,0.54
"LOC107999302",48.983,50.798,49.322,54.215,52.511,57.329,38.213,31.745,37.212,27.876,30.373,35.688,44.852,44.042,44.567
"LOC107998986",3.426,5.08,4.87,2.792,2.912,2.636,9.716,7.129,10.498,16.549,18.118,19.076,39.56,42.062,38.607
"LOC108000754",0.734,0.746,0.522,11.533,12.585,12.295,4.849,3.239,4.67,3.462,3.524,5.393,8.615,11.873,8.629
"LOC107999612",52.681,52.515,51.399,111.045,105.42,101.177,69.796,91.32,82.76,83.042,75.956,75.818,47.505,43.991,48.768
"LOC107995020",0,0,0,0,0,0,0,0,0,0.77,0,0,0,0.307,0.733
"LOC107992585",24.702,20.404,20.838,28.345,34.052,27.27,26.185,30.695,33.911,31.751,31.905,25.895,27.915,22.268,21.953
"LOC114576999",4.696,6.201,3.672,1.694,1.824,1.896,2.696,1.412,1.734,1.022,1.104,2.047,1.808,1.325,2.191
"LOC107994745",22.079,24.874,24.539,15.081,12.658,12.871,17.518,22.697,20.505,29.702,28.074,24.688,20.531,19.863,16.024
"LOC107995914",43.623,50.611,45.261,82.142,83.616,78.805,70.869,87.172,82.572,75.921,77.395,68.679,54.573,58.956,54.875
"LOC108003764",40.543,46.791,42.92,28.561,29.566,31.467,29.124,26.669,23.888,22.995,23.623,20.719,24.668,23.026,24.416
"LOC108002135",21.362,14.88,16.703,8.355,8.159,12.393,22.254,20.559,22.724,19.923,22.239,18.62,18.629,23.445,22.782
"LOC107999535",0,0.285,0,18.028,14.412,17.776,8.531,7.588,6.211,8.998,10.379,11.675,10.483,10.403,11.481
"LOC114577174",51.656,66.463,64.457,312.089,266.752,338.589,148.298,134.637,122.21,119.278,102.539,100.612,133.828,115.839,120.206
"LOC108003422",151.083,139.016,141.285,62.388,72.112,64.528,97.909,88.464,96.305,102.361,122.349,116.437,97.41,97.45,105.122
"LOC107999395",0.405,0.411,0.575,0.129,0.486,0.072,0.232,0,0.062,0.055,0.059,0,0.223,0,0.105
"LOC107997275",0,0,0,0.698,0.751,0.312,0.252,1.054,1.483,1.55,1.03,0.849,1.085,1.712,1.477
"LOC107999716",78.904,59.106,62.363,73.322,78.104,68.806,47.579,54.422,55.869,64.472,65.348,50.896,33.004,31.735,31.428
"LOC107993494",0,0,0,0.142,0.203,0.291,0.724,0.245,0.388,0.545,0.632,0.593,0.918,0.773,0.788
"LOC107999921",212.552,213.909,195.585,89.925,91.617,87.621,74.645,94.914,83.458,74.086,62.704,52.347,60.992,57.218,58.806
"LOC107993004",60.648,57.591,58.311,59.783,55.942,57.96,37.881,44.901,43.137,44.771,41.851,37.979,30.659,32.774,30.594
"LOC107997011",126.105,131.665,134.179,134.6,132.652,133.734,111.813,100.673,97.546,112.262,106.088,111.324,85.488,86.977,81.063
"LOC108001039",294.172,296.224,292.123,20.116,19.036,18.877,65.085,61.444,67.012,31.156,32.157,32.714,26.587,26.852,27.281
"LOC108004203",8.115,13.346,11.536,102.107,113.903,121.964,86.976,55.085,54.457,59.704,89.247,90.568,86.702,86.293,87.341
"LOC107993375",9.04,10.494,9.179,16.445,13.574,9.201,28.177,21.231,21.457,31.381,27.574,31.684,47.108,33.35,39.498
"LOC107997470",0,0,0,86.092,85.761,82.068,260.44,220.89,259.689,91.55,88.098,93.143,76.984,77.625,80.476
"LOC114577377",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC108003487",87.534,85.821,92.074,23.886,23.738,23.758,103.19,93.054,94.318,124.46,122.951,141.216,128.367,122.851,126.411
"LOC107998895",7.208,11.064,9.336,29.269,29.865,29.899,34.12,31.022,34.105,32.328,38.97,41.263,52.322,60.274,57.46
"LOC107997769",0.577,0.391,0.41,3.062,1.714,2.056,0.331,0.463,0.71,0.523,0.339,0,0,0.25,0.299
"LOC108000108",2.023,2.739,4.473,8.013,8.935,6.084,10.194,16.762,9.543,18.828,15.056,12.189,10.999,9.51,12.233
"LOC107999998",214.947,209.261,204.979,11.379,15.035,12.617,24.161,20.229,26.095,11.756,11.362,14.87,118.741,120.162,124.484
"LOC108002127",329.401,333.043,332.635,428.097,429.577,439.475,329.826,210.75,281.267,208.932,268.727,315.105,342.099,356.908,340.733
"LOC107999527",79.427,71.853,73.311,94.153,85.526,90.86,118.056,100.573,111.191,137.219,156.542,168.888,175.755,170.091,168.09
"LOC108003453",60.977,59.448,63.071,78.857,82.299,82.917,47.749,38.621,47.266,41.178,50.837,51.174,32.675,29.756,33.518
"LOC107992532",156.553,161.736,168.225,98.951,94.326,99.035,87.261,98.448,91.02,71.055,61.509,58.751,48.816,51.004,49.842
"LOC108000161",0,0,0.748,1.787,1.443,1,1.41,1.055,1.08,2.291,4.124,1.699,6.175,7.768,7.64
"LOC108004196",333.446,319.66,332.302,281.952,262.421,285.663,210.119,284.772,259.818,276.101,259.319,277.842,172.716,155.85,161.52
"LOC107993606",0.403,0.681,0.191,0.342,0.644,0,0.231,0.242,0.413,0.949,0.946,1.169,2.509,2.883,2.852
"LOC107993978",0.171,0.058,0.283,0.29,0.391,0.284,0.491,0.171,0.245,0.434,0.335,0.469,8.335,8.532,8.152
"LOC107992615",1.139,0.694,0.728,39.873,29.425,36.992,20.855,29.996,25.645,61.262,45.434,40.911,49.027,48.184,46.394
"LOC107999582",2.469,3.097,1.342,3.606,2.289,2.69,36.685,34.237,35.476,70.071,72.279,73.621,33.619,35.168,33.799
"LOC108003062",2.1,1.867,1.866,6.853,7.738,9.539,42.658,47.371,41.843,113.686,106.145,110.981,157.652,163.056,169.574
"LOC108002182",244.596,257.556,249.67,0.215,1.159,0.843,39.502,33.145,37.449,8.46,8.146,8.513,10.318,10.345,11.129
"LOC107996985",0,0,0,4.879,3.526,5.236,5.124,6.567,6.008,8.852,7.712,5.541,5.715,5.673,7.02
"LOC107995265",83.738,98.713,85.991,63.419,64.199,57.463,61.872,88.142,67.398,77.565,52.189,38.095,27.509,27.116,27.531
"LOC108002324",0.19,0.772,0.54,62.898,67.717,60.095,24.543,17.825,22.914,14.676,16.188,21.618,12.537,16.45,12.409
"LOC108000455",59.74,58.216,61.196,51.331,54.342,50.443,55.073,52.687,50.884,53.586,46.831,50.4,60.363,61.369,59.769
"Trnaf-gaa_1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC108000242",83.358,84.359,75.948,22.897,23.167,26.428,137.731,138.516,140.579,157.91,139.878,151.484,147.496,145.639,147.321
"LOC114578092",16.141,11.711,18.575,2.447,2.108,1.643,15.446,15.719,12.771,5.854,13.099,10.794,14.794,19.516,22.314
"LOC108001895",81.657,81.213,79.318,25.212,24.806,24.297,75.496,85.24,77.767,123.171,125.482,118.535,116.796,110.644,107.744
"LOC107995460",210.512,205.181,192.586,101.237,109.549,110.681,84.773,88.804,82.871,69.509,73.417,71.102,48.626,57.04,55.722
"LOC107998039",76.436,73.37,71.385,208.374,229.932,203.91,125.982,131.08,120.868,93.125,104.958,92.355,82.844,85.839,87.585
"LOC107993848",0.125,0.064,0,8.162,8.102,7.797,6.212,3.874,4.81,4.559,5.954,5.996,23.351,21.253,24.314
"LOC107993702",188.205,172.674,193.109,206.118,215.517,220.987,40.462,42.06,36.628,35.978,32.939,29.347,47.219,42.561,47.547
"LOC107994386",72.15,67.933,69.163,40.184,40.991,40.029,69.275,63.328,60.9,62.77,70.992,77.827,68.586,65.704,66.45
"LOC107995043",121.169,117.997,120.482,153.21,143.46,145.258,99.368,99.816,98.396,85.839,83.592,85.781,58.305,55.393,54.963
"LOC114577952",0.066,0.101,0.118,0.211,0.205,0.189,0.629,0.359,0.572,0.632,0.409,0.611,0.657,0.41,0.774
"LOC108003465",84.165,90.706,84.872,27.666,27.206,23.807,52.582,58.238,57.69,60.989,50.802,54.287,44.842,45.144,47.415
"LOC107998693",701.875,670.224,675.525,133.087,134.038,136.797,234.931,183.66,213.396,123.845,129.064,159.056,329.714,335.089,334.727
"LOC108003260",23.457,22.13,20.806,1.787,1.924,1.476,8.902,8.562,9.336,8.326,8.797,8.802,12.606,13.14,11.71
"LOC107994444",14.92,19.093,18.036,229.112,221.941,221.385,100.573,87.266,105.623,79.825,92.167,88.632,52.523,54.075,48.416
"LOC107996508",84.591,81.559,86.645,1.314,2.357,1.96,10.761,10.859,12.379,6.828,5.355,6.494,3.026,2.015,3.209
"LOC107995399",416.095,448.65,438.954,13.919,12.261,16.46,62.331,61.112,62.372,42.165,41.315,39.336,35.792,36.713,39.149
"LOC114578177",2.075,1.725,2.414,4.564,3.879,5.242,4.008,3.064,4.063,0.513,0.887,1.188,1.349,0.123,0.978
"LOC107996896",0.236,0.24,0.224,22.225,20.524,16.954,6.017,7.346,6.401,9.259,9.863,7.478,12.392,11.85,12.581
"LOC107996561",57.674,49.979,51.88,119.295,111.607,114.219,82.944,90.286,87.428,88.338,73.405,72.793,57.401,58.339,57.32
"LOC108001520",47.013,45.765,46.387,0.066,0.283,0.22,3.729,2.48,2.855,3.926,5.271,5.442,40.595,38.462,43.934
"LOC114577940",0.412,0.419,0,0.263,1.696,1.762,0.237,0.248,1.776,0.224,1.696,2.196,1.134,1.342,1.71
"LOC108003151",11.669,11.245,11.271,26.099,26.252,25.367,50.851,61.727,60.761,88.874,84.399,68.386,56.107,56.49,49.013
"LOC114578290",0,0,0,0.158,0.113,0.059,0.047,0,0.153,0.27,0.049,0.2,0.227,0.323,0.257
"LOC108001802",39.044,42.443,43.429,46.754,48.833,48.998,70.401,57.681,59.352,33.389,40.496,42.856,111.274,108.993,114.981
"LOC108001748",0.401,2.037,0.57,21.318,18.691,20.855,19.34,22.792,17.767,30.54,24.154,18.641,14.774,13.706,14.135
"LOC114577797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC108000040",3.914,2.485,3.477,8.41,6.707,6.971,7.022,6.474,5.72,9.848,5.175,6.633,12.645,10.829,9.637
"LOC107995253",94.28,93.458,92.566,20.085,21.526,21.969,56.133,51.793,55.702,49.861,46.847,55.15,47.862,49.91,46.371
"LOC108000463",1.572,1.597,0.92,4.592,3.232,4.084,2.867,2.836,2.56,2.264,2.119,1.746,2.288,2.709,2.109
"LOC108001489",1.878,0.763,0.401,0.598,0,0.803,0.755,0.904,1.04,0.102,0.331,0.546,0.207,0.122,0.195
"LOC107993316",65.769,71.6,69.178,88.071,77.229,88.253,55.205,65.281,59.894,50.381,54.77,57.27,40.709,46.851,50.301
"LOC107995539",0.175,0,0.187,5.402,5.516,5.484,83.065,81.438,76.593,106.967,103.882,108.258,148.964,150.219,147.045
"LOC108003037",5.978,7.084,6.924,24.318,23.449,23.819,31.337,31.428,28.953,39.026,34.025,31.735,40.423,43.244,41.262
"LOC107994821",6.728,11.51,6.544,12.625,10.195,10.848,16.062,9.584,8.063,10.595,8.532,11.488,30.961,25.82,25.515
"LOC107993795",345.211,339.737,320.595,243.332,237.56,228.478,229.85,297.868,265.164,184.149,160.719,140.892,91.734,91.213,101.976
"LOC107998543",12.725,14.023,14.506,17.733,17.61,20.271,7.996,5.271,7.388,2.612,0.776,0.872,2.905,3.908,3.734
"LOC114577870",30.495,25.24,29.704,46.744,42.582,39.833,30.804,75.068,41.703,97.084,76.331,44.301,30.124,37.134,36.302
"LOC107993933",1.261,1.068,2.241,4.417,4.467,7.638,6.638,4.678,5.174,2.402,3.459,4.581,3.352,2.874,4.032
"LOC108001986",41.904,49.823,43.099,21.64,29.387,27.929,27.276,36.006,27.808,36.769,28.257,22.442,24,21.876,23.825
"LOC108000052",4.575,6.528,6.735,48.267,50.173,46.871,23.014,35.901,25.001,29.686,21.635,20.781,22.521,22.904,21.4
"LOC114578005",0,0,0,0.811,0.38,0.75,0.318,0.366,0.273,0.211,0.358,0.509,0.03,0.036,0.144
"LOC107992567",4.012,4.755,3.684,5.429,6.189,7.385,3.744,4.525,4.527,2.456,2.849,1.376,1.655,1.415,1.647
"LOC107997216",7.623,7.743,4.826,6.522,6.532,5.686,13.199,12.609,11.362,10.044,9.31,9.171,16.769,15.51,15.869
"LOC107999775",21.711,17.275,20.447,84.035,87,84.043,32.359,40.209,33.735,29.38,30.887,24.487,24.077,24.382,21.853
"LOC107998317",175.846,179.94,158.853,101.76,101.242,102.141,84.802,141.98,110.08,161.406,139.993,111.16,111.946,112.793,122.145
"LOC107999768",140.81,133.057,132.039,6.252,6.793,7.253,21.829,19.724,20.568,57.294,55.749,61.032,113.354,113.552,110.219
"LOC107997999",45.159,46.433,46.074,27.267,28.261,24.426,19.544,18.071,20.607,14.373,15.454,15.055,20.982,21.521,22.678
"LOC107995447",0,0,0,50.502,50.021,51.99,285.483,209.64,246.286,142.273,196.305,195.116,175.72,181.77,168.232
"LOC108004389",95.978,94.309,98.462,8.19,9.044,7.52,21.305,21.128,19.891,7.626,9.594,9.663,10.066,8.911,7.523
"LOC114578071",0.076,0.039,0,0.024,0.026,0,0.088,0.046,0.023,0.062,0.09,0.074,0.147,0.174,0.099
"LOC107999701",9.952,8.452,9.277,6.025,5.704,7.091,36.721,46.71,37.751,80.592,66.923,51.273,46.654,44.081,46.94
"KEH14_t20",0,0,0,0,0,0,0,0,0,0,0,2.539,0,0,0
"LOC107997496",21.389,18.706,20.081,161.822,165.515,151.901,106.983,115.854,103.612,128.807,111.38,107.895,98.439,100.903,93.211
"LOC107997006",9.564,12.705,9.562,43.365,41.356,40.812,26.071,32.241,26.196,37.338,30.081,22.852,23.756,20.529,24.029
"LOC114577932",5.147,4.248,5.03,0.205,0,0,0.185,0.967,0.594,0,0,0,0,0.419,0
"LOC107996174",0,0,0,0.236,0.127,0.395,1.062,0.779,0.911,14.692,15.436,15.227,70.696,67.318,68.849
"LOC114578215",0,0,0.745,4.896,14.375,9.214,879.59,796.332,858.628,7665.468,7556.445,8401.52,11444.52,11618.285,11279.159
"LOC107999817",0,0,0,2.744,3.25,6.756,0,0.259,0.53,0.234,0,0.209,7.11,5.331,6.479
"LOC107993710",41.897,44.669,42.337,104.686,105.32,106.308,42.02,45.038,45.878,43.385,42.687,41.716,60.729,61.178,58.921
"LOC108003609",17.964,20.728,19.215,93.281,97.318,89.592,87.624,95.148,84.576,131.413,114.59,104.979,65.412,69.606,68.353
"LOC107994199",444.928,450.46,452.528,68.959,80.763,69.865,133.196,112.24,153.115,80.817,65.798,92.844,96.181,93.858,97.117
"LOC107998114",32.699,36.639,43.848,6.439,6.239,7.205,25.937,22.709,22.612,24.941,26.744,23.18,25.953,25.02,28.485
"LOC107993581",1.781,4.07,6.329,71.716,69.275,74.222,41.411,33.204,36.986,64.667,89.739,107.576,74.916,61.737,81.7
"LOC108000032",75.224,77.641,77.418,31.885,35.842,33.04,27.322,29.093,25.601,22.593,21.894,21.249,23.7,23.931,23.08
"LOC107993953",1.605,3.985,2.281,0.227,0.244,0.254,2.559,2.252,1.975,2.037,2.096,2.677,3.922,4.643,5.084
"LOC108003057",109.867,106.56,101.771,92.319,92.157,87.872,84.88,83.279,83.509,94.091,88.819,91.722,82.854,76.452,77.615
"LOC107995559",23.999,23.183,23.148,23.488,22.376,23.203,19.57,20.934,22.211,16.026,15.307,15.862,12.489,14.316,13.502
"LOC114577388",0,0,3.444,1.028,3.321,2.301,1.391,3.886,0,0.439,0,1.955,0,1.051,2.093
"LOC108003478",2914.787,3030.29,2904.617,563.329,648.875,602.154,680.334,550.508,652.04,94.202,120.658,133.361,122.883,134.207,112.42
"LOC107996377",26822.655,26891.331,26990.242,1285.767,1279.938,1266.018,3682.984,4226.269,3779.352,90.885,85.071,80.398,30.548,31.056,31.901
"LOC107995233",38.345,34.116,41.38,74.669,72.331,79.565,53.515,77.945,76.647,61.668,57.898,66.412,53.717,46.831,53.25
"LOC108003131",48.715,43.049,41.808,47.63,50.555,52.438,60.618,59.419,56.895,53.825,58.409,49.298,37.572,39.178,44.409
"LOC107998249",197.786,184.953,187.871,4,4.076,2.718,26.346,27.126,26.442,35.949,33.229,40.582,81.931,81.586,77.758
"LOC107994780",0,0.094,0,0,0.063,0.066,0,0,0,0,0,0.045,0.102,0.181,0.096
"LOC108000574",0,0,0.334,12.417,14.173,12.722,5.801,6.218,8.965,6.902,9.251,4.096,15.893,14.991,16.443
"LOC108001810",11.132,9.671,11.297,13.057,13.304,16.228,62.575,48.634,54.717,64.987,67.015,76.926,152.447,157.641,153.884
"LOC107995186",51.224,59.972,56.556,1.538,2.265,1.811,7.7,6.995,7.235,0.484,0.336,0.492,0.245,0.331,0.527
"LOC107992552",1.312,1.142,0.533,3.7,3.084,3.072,3.552,4.735,4.845,4.181,3.084,3.812,10.617,9.152,9.425
"LOC108003319",0,0,0.249,1.116,0.24,0.5,1.006,0.633,0.216,0,0,0.17,0.771,1.369,0.727
"LOC108003433",0.234,0.079,0.278,0.945,0.321,0.668,1.077,1.128,0.865,2.423,3.306,3.14,14.393,14.242,14.013
"LOC108002021",4.683,5.55,7.213,30.814,27.289,33.368,44.371,54.932,67.731,88.328,73.855,84.292,45.931,40.148,36.824
"LOC114577703",11.612,6.319,14.149,5.545,3.411,5.318,12.858,18.708,13.271,28.879,21.934,12.25,7.526,7.56,8.814
"LOC108000067",0,0,0,0.823,0.709,0.184,0,0,0,0,0,0,171.261,179.515,179.681
"LOC107995278",3.771,3.648,3.702,0.457,1.354,0.64,6.599,5.941,7.625,5.373,4.116,3.913,2.963,4.092,4.096
"Trnad-guc_2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC114577967",0,0,0,0,0,0,0,0,0,0,2.004,0,4.376,1.48,0.589
"LOC107992690",1.062,0.539,0.539,0.773,1.144,1.081,0.784,0.867,0.934,0.66,0.401,0.367,0.459,0.543,0.629
"LOC108003247",205.899,203.136,204.69,266.794,267.719,279.119,69.356,66.924,69.182,37.899,39.141,40.025,50.439,52.29,50.451
"LOC107993965",21.45,20.033,18.316,9.074,7.697,9.128,9.754,10.997,9.391,17.935,17.089,17.846,13.617,13.028,14.254
"LOC107994511",0,0,0,0.276,0.297,0.309,0.996,0.522,0.267,1.416,0,0.63,0.477,1.976,1.349
"LOC107998607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107992728",100.273,83.336,94.166,2212.139,2369.104,2258.412,1998.362,1561.908,1914.049,2111.961,2299.621,2601.457,2876.785,3013.703,3060.319
"LOC108000435",30.513,24.507,26.732,47.441,33.077,41.457,59.894,23.048,32.315,22.777,26.689,43.297,61.657,68.376,57.019
"LOC107998083",0,0,0,0.078,0.253,0.088,0.071,0,0.076,0,0.145,0.119,0.068,0.16,0.128
"LOC107994416",4.298,4.729,4.519,11.003,12.03,11.036,7.814,8.186,6.612,9.645,8.787,8.108,5.909,6.529,6.684
"LOC107994774",0.375,0.571,0.666,63.286,74.948,67.342,46.949,33.163,46.51,36.627,38.133,41.502,31.352,30.158,33.833
"LOC108000580",16.574,13.291,17.671,0.278,0.698,0.414,1.837,1.924,2.416,2.452,1.794,2.675,5.757,4.827,2.864
"LOC107998994",191.423,176.475,174.68,530.971,545.23,525.278,944.585,941.623,1166.734,1304.669,1529.636,1529.328,1381.005,1491.411,1444.309
"LOC107993147",59.028,71.088,66.43,168.273,157.253,170.452,95.13,98.309,107.325,71.28,82.912,82.936,63.692,53.278,57.144
"LOC107994919",2275.036,2296.114,2278.408,37.786,39.617,38.136,363.862,363.901,369.644,51.699,48.051,52.253,80.074,85.859,77.696
"LOC114577145",0,0.054,0,0.068,0,0,0.214,0.064,0.164,0.058,0.251,0.026,0.117,0.139,0.111
"LOC114577026",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC108000926",23.868,21.966,21.37,25.992,27.643,27.919,9.534,8.616,8.713,7.343,7.532,8.7,13.642,14.582,13.956
"LOC107999445",0.139,0,0,10.407,8.165,8.388,3.022,5.165,4.262,5.425,6.105,5.433,4.875,3.697,5.17
"LOC108002677",110.112,116.143,117.625,56.788,57.661,51.799,70.626,92.417,82.589,106.24,80.608,72.562,59.74,57.929,60.808
"LOC108004365",1.943,2.377,1.663,4.444,4.948,5.397,6.695,6.083,6.98,6.969,5.617,6.76,23.096,23.264,21.793
"LOC108001609",181.556,171.354,170.452,68.564,63.298,63.302,122.552,119.427,120.492,131.112,139.202,135.969,113.182,114.913,121.698
"LOC108000807",0,0,0,0,0,0,0.49,0,0.525,0,0,0,2.344,0,0.884
"LOC107997244",7.017,8.613,8.452,0.062,0.2,0.278,2.798,1.817,3.119,0.106,0.057,0.142,0.214,0.317,0.253
"LOC107999252",0,0,0,20.435,20.402,22.085,8.269,6.517,7.85,9.551,7.819,7.372,13.878,13.216,14.718
"LOC108002828",145.303,141.834,144.995,30.908,30.808,37.151,30.253,21.915,25.241,17.863,20.899,23.401,49.552,52.84,50.839
"LOC107993634",0,0,0,0,0.18,0.187,0,0,0,0.143,0.462,0,0.144,0,0
"LOC108000429",72.552,66.507,60.374,6.197,3.639,6.304,29.973,23.416,23.958,36.582,32.758,31.705,70.552,70.853,61.463
"LOC107997119",196.722,191.196,194.905,53.814,42.474,46.963,44.324,60.969,52.553,50.204,40.717,38.02,31.174,29.659,26.122
"LOC108004507",186.53,179.63,218.103,2.828,3.598,2.877,21.791,22.828,27.331,0,0,0.196,0,0,0
"LOC108001131",0.127,0.388,0.181,0,0.087,0.091,0.146,0.153,0.391,0.138,0.299,0.308,0,0,0.066
"LOC108001478",16.314,13.528,13.726,2.12,1.598,2.847,11.088,8.411,6.557,15.396,18.001,15.639,19.591,19.075,21.403
"LOC107995815",15.318,13.437,12.125,39.455,28.875,34.228,27.984,30.571,28.493,36.174,30.279,27.815,24.505,27.198,32.665
"LOC107996799",0,0,0,0,0,0.15,0,0.508,0,0.23,0.496,0,0.58,0.137,0.547
