"","D-12_1","D-12_2","D-12_3","D-24_1","D-24_2","D-24_3","D-36_1","D-36_2","D-36_3","D-48_1","D-48_2","D-48_3","D-60_1","D-60_2","D-60_3"
"LOC107995445",0,0,0.147,0,0.566,1.176,0.118,0,0,0.112,0,0,0.113,0.134,0
"LOC114576789",0,0.12,0,0.301,0.243,0,0,0,0,0.193,0.069,0,0.13,0.154,0.061
"LOC108000437",18.136,14.786,16.113,22.183,21.592,20.572,16.853,24.113,15.713,31.157,25.523,22.533,19.29,20.197,23.504
"LOC108002183",110.058,115.221,127.683,178.545,164.474,167.341,186.674,202.906,196.441,216.329,232.447,209.709,151.194,159.505,164.606
"LOC108003063",89.284,85.688,86.009,28.782,28.321,30.482,39.851,48.66,39.254,47.774,40.33,35.702,25.762,26.898,30.469
"LOC107999583",0,0,0,0.711,2.297,1.591,0.641,0.672,0.687,1.823,2.625,3.515,14.127,18.906,11.869
"LOC108003440",0,0,0,0.249,0.358,0.279,0.449,0.314,0.722,0.497,0.69,0.758,8.318,8.913,10.206
"LOC107998605",26.47,34.57,33.449,24.88,27.65,23.948,11.821,15.922,18.1,7.086,7.655,12.208,15.25,17.781,16.99
"LOC107999951",12.261,14.861,13.271,69.73,72.398,70.978,31.521,38.886,30.611,36.157,33.081,29.755,33.101,31.568,32.576
"LOC107994264",5.098,2.998,6.103,0,0.184,0.382,1.079,0.807,1.651,0,0.158,0.26,0.295,0,0.556
"LOC108003245",5.54,7.129,5.251,0.706,1.519,0.263,1.272,1.333,0.909,0,0.217,0.179,0,0.962,0.383
"LOC107993967",0.424,0,0,1.621,4.071,3.929,3.167,2.041,1.827,2.769,2.992,3.492,0.933,3.591,2.419
"LOC107994318",48.235,48.825,53.876,32.852,33.756,34.486,49.505,38.818,44.681,33.282,34.47,41.995,56.656,66.199,64.386
"LOC107992533",116.325,108.382,117.703,79.364,80.522,79.972,175.362,144.253,156.525,216.657,230.3,258.58,158.535,159.328,158.497
"LOC108003452",0.401,0.678,1.423,11.731,11.714,11.605,9.582,8.994,8.216,10.023,10.827,10.15,8.003,6.084,8.098
"LOC114577965",8.763,10.88,9.17,1.395,0.834,0.52,6.569,5.125,8.089,3.178,4.292,4.126,6.024,5.071,6.057
"LOC108000065",0,0,0,0,0.245,0.509,0.205,0.645,0.22,0,0.42,0,0.197,0,0.185
"LOC108001376",7.208,7.885,5.912,115.798,118.777,119.896,163.959,196.268,183.576,228.047,201.865,185.131,107.332,112.81,119.863
"LOC107995042",11.81,13.534,11.192,51.478,47.327,44.011,48.683,58.647,46.214,73.473,63.174,58.654,47.792,51.849,50.861
"LOC107993703",0.303,0.231,0.323,1.448,1.559,1.62,0.479,0.319,0.327,0.165,0.089,0.147,0.959,0.987,0.786
"LOC114578093",32.977,21.83,30.55,0.708,0,0.264,3.191,1.114,2.964,0.605,0,0.718,1.426,1.689,1.729
"LOC108000243",0,0.27,0.378,14.571,17.147,24.268,57.755,78.588,69.434,59.645,45.351,51.157,58.096,44.871,50.076
"LOC107995050",46.139,46.254,46.599,144.122,145.943,156.413,165.532,165.966,166.39,117.859,117.32,123.366,184.245,191.621,193.725
"LOC108000220",183.217,177.159,179.058,99.924,98.293,88.501,149.575,154.817,150.426,135.881,125.64,129.767,107.758,105.838,115.397
"LOC108001605",135.887,144.759,139.958,77.703,77.877,90.523,64.078,74.128,64.972,61.587,57.564,44.711,33.004,40.118,35.066
"LOC108004369",0.309,0.157,0.275,8.004,6.231,5.512,5.974,5.677,5.165,6.418,6.069,5.975,6.807,6.422,5.775
"Trnad-guc_3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LOC107999788",5.068,3.018,3.478,0,0,0,0.803,1.051,1.183,0.666,0.308,0.338,2.787,3.072,2.355
"LOC114576894",0.936,0,0,0,0.214,0,0.179,0,0.192,0,0,0,0,0.406,0
"LOC107999449",30.916,26.614,28.928,194.291,181.516,184.18,74.115,66.398,76.533,77.73,77.602,82.299,57.153,62.432,62.298
"LOC108004148",190.859,185.645,179.028,79.922,76.393,75.727,90.883,85.518,92.253,70.39,75.659,73.127,77.783,80.344,80.576
"LOC107999613",21.238,18.889,19.27,43.247,40.12,41.141,28.772,26.667,27.043,23.587,22.661,23.602,34.608,31.605,34.805
"LOC107995819",0.893,0.635,0.444,11.319,9.737,10.884,30.058,23.212,24.684,18.517,20.212,23.446,33.701,33.21,36.725
